"model","avg_delay"
"A330-223",55.8
"ERJ 190-100 IGW",41.7239583333333
"717-200",38.7371047725341
"ATR-72-212",38.6991947244943
"ATR 72-212",38.2673654963375
"EMB-135LR",36.8654813686384
"757-33N",35.7124183006536
"EMB-135ER",35.4175020048115
"CL-600-2C10",34.6212598971544
"737-522",34.3702658998894
"SAAB 340B",33.9335511982571
"767-2B7",33.9254143646409
"737-322",33.8466816596292
"1121",33.2908745247148
"DC-7BF",32.5261121856867
"EMB-145",32.4170148754805
"EMB-145LR",32.4054517211241
"EMB-145XR",32.1392814933541
"EMB-145EP",32.1166990830786
"747-422",32.0051085568327
"690A",32
"737-73A",31.9870967741935
"737-524",31.9432390175014
"C90",31.8330948974726
"A319-131",31.7385400263175
"CL-600-2B19",31.6209272656156
"60",31.4967197750703
"PA-32RT-300",31.4797687861272
"E-90",31.42578125
"EMB-135KL",31.374988968317
"172E",31.0887245841035
"737-7BD",31.0331160365059
"F85P-1",30.7620052770449
"S-76A",30.690036900369
"MD 83",30.5835734870317
"PA-28-180",30.5414691943128
"A-1B",30.3477564102564
"DC-9-83(MD-83)",30.3474238653737
"737-76N",30.3096834422473
"421C",30.3083645443196
"HST-550",30.174719375305
NA,29.8301709646086
"150",29.7502574665294
"65-A90",29.7440828402367
"757-223",29.5199011981886
"T210N",29.4951241134752
"DC-9-32",29.4789900546809
"172M",29.4677195899141
"VANS AIRCRAFT RV6",29.3927028324532
"FALCON XP",29.3723109691161
"737-8FH",29.3038674033149
"767-323",29.1555524842789
"DC-9-51",29.0386476859905
"DC-9-82(MD-82)",29.0069652471529
"OTTER DHC-3",28.9952879581152
"210-5(205)",28.9721964782206
"767-322",28.9524384112619
"737-3Q8",28.9276736493936
"737-3A4",28.7875937460277
"182P",28.7821596244131
"737-4S3",28.7035608308605
"S55A",28.580810546875
"747-2B5F",28.5241134751773
"DC-9-31",28.5232568798929
"DC-9-41",28.42261300868
"FALCON-XP",28.412030075188
"AS 355F1",28.3989637305699
"206B",28.2286995515695
"737-3TO",28.1769351121636
"737-3L9",28.0555088309504
"PA-32R-300",27.9440154440154
"767-223",27.935908516721
"550",27.8979118329466
"737-7H4",27.8679544553334
"737-317",27.8416023039665
"737-3H4",27.8368448951774
"KITFOX IV",27.7958477508651
"PA-31-350",27.3573548113607
"757-251",27.3163580575739
"737-4Q8",27.0761044560264
"737-3T5",27.01008492569
"A320-211",26.9788512527652
"737-3Y0",26.8143484288355
"757-225",26.7967495219885
"A109E",26.5739268680445
"737-490",26.4970154527028
"S-50A",26.4189122978932
"A320-232",26.3902192749435
"757-2S7",26.0927618395973
"G-IV",26.0633802816901
"A320-212",25.9845543331036
"757-2G7",25.8907063876451
"767-3G5",25.873511060692
"737-724",25.6684568490026
"757-224",25.6267759632722
"757-222",25.589056319743
"757-324",25.4620945496053
"737-990",25.4086518654154
"A320-231",25.3104522094645
"737-890",25.2280049566295
"737-301",24.7804163615441
"777-222",24.5441152531336
"737-824",24.4649070570667
"757-2Q8",24.2778646851779
"737-790",24.1378326996198
"737-401",23.9470765181425
"737-3G7",23.8729456384324
"737-4B7",23.8672255800351
"737-3B7",23.5893237877276
"757-231",23.4705578512397
"MD-88",23.367552422747
"A319-112",22.9501415889783
"737-33A",22.8295165394402
"737-924",22.7925122083559
"A319-114",22.7812217616432
"767-424ER",22.7508854781582
"777-224",22.7447916666667
"767-33A",22.6164521826899
"737-3S3",22.6163740657048
"747-451",22.5890410958904
"A320-214",22.5240753663643
"MD-90-30",22.2033232628399
"A321-211",21.9866518353726
"767-224",21.835771105979
"A319-132",21.6316748014861
"EMB-120ER",21.4584468102666
"757-351",21.4130144769999
"EMB-120",20.7981482742188
"767-3CB",20.7167785234899
"DA 20-A1",20.0417986067131
"A319-111",18.6786808875812
"767-332",17.8141469860635
"757-232",17.7744700607925
"737-832",17.6941850641002
"777-232",17.5215087942361
"757-212",17.5107011070111
"767-3P6",17.3858173076923
"A318-111",17.1471098265896
"182A",17.1032608695652
"757-26D",15.9425481581615
"767-432ER",15.7938315360833
"767-324",15.7880512091038
"737-282C",11.7657657657658
"737-230",10.4586466165414
"737-282",8.43356643356643
"737-2Y5",7.02202643171806
